date, pm25
2018-07-13,68
2018-07-14,61
2018-07-15,65
2018-07-16,50
2018-07-18,46
2018-07-19,50
2018-07-20,57
2018-07-21,63
2018-07-22,42
2018-07-23,38
2018-07-24,34
2018-07-25,59
2018-07-26,53
2018-07-27,46
2018-07-28,59
2018-07-29,53
2018-07-30,59
2018-07-31,63
2018-08-01,65
2018-08-02,59
2018-08-03,42
2018-08-04,61
2018-08-05,61
2018-08-06,53
2018-08-07,53
2018-08-08,42
2018-08-09,34
2018-08-10,38
2018-08-11,42
2018-08-14,42
2018-08-15,38
2018-08-16,34
2018-08-17,34
2018-08-18,42
2018-08-19,42
2018-08-20,46
2018-08-21,50
2018-08-22,46
2018-08-23,53
2018-08-24,59
2018-08-25,59
2018-08-26,57
2018-08-27,21
2018-08-28,38
2018-08-29,61
2018-08-30,57
2018-08-31,63
2018-09-01,42
2018-09-02,42
2018-09-03,30
2018-09-04,25
2018-09-05,46
2018-09-06,53
2018-09-07,46
2018-09-08,42
2018-09-09,61
2018-09-10,61
2018-09-11,61
2018-09-12,63
2018-09-13,72
2018-09-14,80
2018-09-15,59
2018-09-16,57
2018-09-17,63
2018-09-18,59
2018-09-19,63
2018-09-20,61
2018-09-21,70
2018-09-22,78
2018-09-26,30
2018-09-27,38
2018-09-28,68
2018-09-29,63
2018-09-30,46
2018-10-01,55
2018-04-02,17
2018-04-03,34
2018-04-04,50
2018-04-06,61
2018-04-07,78
2018-04-08,117
2018-04-09,104
2018-04-10,50
2018-04-11,65
2018-04-12,25
2018-04-13,25
2018-04-14,38
2018-04-15,38
2018-04-16,50
2018-04-17,50
2018-04-18,55
2018-04-19,61
2018-04-20,61
2018-04-21,65
2018-04-22,63
2018-04-23,61
2018-04-24,65
2018-04-25,76
2018-04-26,61
2018-04-27,61
2018-05-09,25
2018-05-10,17
2018-05-11,17
2018-05-12,17
2018-05-13,21
2018-05-14,21
2018-05-15,17
2018-05-16,25
2018-05-17,38
2018-05-18,34
2018-05-19,46
2018-05-20,53
2018-05-21,34
2018-05-22,42
2018-05-23,17
2018-05-26,57
2018-05-27,63
2018-05-28,53
2018-05-29,25
2018-06-03,50
2018-06-04,53
2018-06-05,38
2018-06-06,53
2018-06-07,42
2018-06-08,42
2018-06-09,34
2018-06-10,34
2018-06-11,55
2018-06-12,50
2018-06-13,42
2018-06-14,46
2018-06-15,30
2018-06-16,55
2018-06-17,55
2018-06-18,61
2018-06-19,57
2018-06-20,57
2018-06-21,59
2018-06-22,65
2018-06-23,53
2018-06-24,50
2018-06-25,53
2018-06-26,50
2018-06-27,42
2018-06-28,55
2018-06-29,34
2018-01-02,132
2018-01-03,61
2018-01-04,82
2018-01-05,63
2018-01-06,122
2018-01-07,109
2018-01-08,80
2018-01-09,65
2018-01-10,50
2018-01-11,87
2018-01-12,89
2018-01-13,99
2018-01-14,93
2018-01-15,127
2018-01-16,137
2018-01-17,151
2018-01-18,82
2018-01-19,68
2018-01-20,78
2018-01-21,42
2018-01-22,87
2018-01-23,89
2018-01-25,162
2018-01-26,173
2018-01-27,134
2018-01-28,61
2018-01-29,102
2018-01-30,114
2018-01-31,114
2018-02-01,127
2018-02-02,134
2018-02-03,122
2018-02-04,82
2018-02-05,72
2018-02-06,78
2018-02-07,61
2018-02-08,61
2018-02-09,97
2018-02-10,82
2018-02-11,57
2018-02-12,99
2018-02-13,124
2018-02-14,42
2018-02-15,85
2018-02-16,109
2018-02-17,154
2018-02-18,158
2018-02-19,127
2018-02-20,65
2018-02-21,99
2018-02-22,95
2018-02-23,72
2018-02-24,57
2018-02-25,65
2018-02-26,68
2018-02-27,68
2018-02-28,76
2018-03-01,109
2018-03-02,134
2018-03-03,134
2018-03-04,134
2018-03-05,119
2018-03-06,139
2018-03-07,95
2018-03-08,109
2018-03-11,65
2018-03-17,57
2018-03-25,74
2018-03-26,95
2018-03-27,108
2018-03-28,76
2018-03-29,72
2018-03-30,93
2018-03-31,109
2018-04-01,63
2017-10-02,87
2017-10-03,80
2017-10-04,97
2017-10-05,109
2017-10-06,107
2017-10-07,78
2017-10-08,46
2017-10-09,46
2017-10-10,53
2017-10-11,72
2017-10-12,107
2017-10-13,127
2017-10-14,127
2017-10-15,104
2017-10-16,117
2017-10-17,119
2017-10-18,137
2017-10-19,157
2017-10-20,157
2017-10-21,164
2017-10-22,154
2017-10-23,151
2017-10-24,87
2017-10-25,114
2017-10-26,157
2017-10-29,132
2017-10-30,153
2017-10-31,109
2017-11-01,87
2017-11-02,109
2017-11-03,155
2017-11-04,155
2017-11-05,157
2017-11-06,89
2017-11-07,25
2017-11-08,42
2017-11-09,50
2017-11-10,38
2017-11-11,61
2017-11-12,165
2017-11-13,91
2017-11-14,34
2017-11-15,55
2017-11-16,82
2017-11-22,155
2017-11-23,158
2017-11-24,156
2017-11-25,158
2017-11-26,157
2017-11-27,46
2017-11-28,72
2017-11-29,97
2017-11-30,129
2017-12-01,85
2017-12-02,80
2017-12-03,42
2017-12-04,76
2017-12-05,144
2017-12-06,154
2017-12-07,160
2017-12-08,163
2017-12-09,122
2017-12-10,21
2017-12-11,65
2017-12-12,97
2017-12-13,124
2017-12-14,151
2017-12-15,154
2017-12-16,147
2017-12-17,129
2017-12-18,104
2017-12-19,160
2017-12-20,154
2017-12-21,156
2017-12-22,168
2017-12-23,173
2017-12-29,42
2017-12-30,72
2018-01-01,152
2017-07-02,33
2017-07-03,38
2017-07-04,55
2017-07-05,55
2017-07-06,65
2017-07-07,76
2017-07-08,76
2017-07-09,68
2017-07-10,53
2017-07-11,57
2017-07-12,57
2017-07-13,59
2017-07-14,53
2017-07-15,57
2017-07-16,46
2017-07-17,38
2017-07-18,53
2017-07-19,57
2017-07-20,72
2017-07-21,76
2017-07-22,61
2017-07-23,57
2017-07-24,63
2017-07-25,53
2017-07-26,25
2017-07-27,30
2017-07-28,42
2017-07-29,57
2017-07-30,61
2017-07-31,53
2017-08-01,55
2017-08-02,63
2017-08-03,68
2017-08-04,63
2017-08-05,70
2017-08-06,63
2017-08-07,55
2017-08-08,34
2017-08-09,42
2017-08-10,38
2017-08-11,38
2017-08-12,13
2017-08-13,17
2017-08-14,21
2017-08-15,34
2017-08-16,42
2017-08-17,50
2017-08-18,53
2017-08-19,57
2017-08-20,46
2017-08-21,21
2017-08-22,38
2017-08-23,46
2017-08-24,55
2017-08-25,57
2017-08-26,61
2017-08-27,65
2017-08-28,59
2017-08-29,72
2017-08-30,59
2017-08-31,61
2017-09-01,63
2017-09-02,42
2017-09-03,17
2017-09-04,33
2017-09-05,34
2017-09-10,61
2017-09-12,34
2017-09-13,25
2017-09-14,42
2017-09-15,42
2017-09-16,34
2017-09-17,46
2017-09-18,25
2017-09-21,38
2017-09-22,46
2017-09-23,55
2017-09-24,59
2017-09-25,59
2017-09-26,50
2017-09-27,53
2017-09-28,65
2017-09-29,78
2017-09-30,117
2017-10-01,99
2017-04-02,53
2017-04-03,46
2017-04-04,60
2017-04-05,61
2017-04-06,59
2017-04-07,55
2017-04-08,87
2017-04-09,117
2017-04-10,96
2017-04-11,85
2017-04-12,80
2017-04-13,86
2017-04-14,87
2017-04-15,72
2017-04-16,73
2017-04-17,61
2017-04-18,42
2017-04-19,60
2017-04-20,35
2017-04-21,41
2017-04-22,58
2017-04-23,75
2017-04-24,61
2017-04-25,73
2017-04-26,70
2017-04-27,55
2017-04-28,67
2017-04-29,15
2017-04-30,40
2017-05-01,56
2017-05-02,57
2017-05-03,38
2017-05-04,41
2017-05-05,45
2017-05-06,42
2017-05-07,54
2017-05-08,42
2017-05-09,38
2017-05-10,45
2017-05-11,67
2017-05-12,65
2017-05-13,57
2017-05-14,46
2017-05-15,42
2017-05-16,49
2017-05-17,54
2017-05-18,60
2017-05-19,57
2017-05-20,50
2017-05-21,22
2017-05-22,24
2017-05-23,41
2017-05-24,58
2017-05-25,59
2017-05-26,62
2017-05-27,55
2017-05-28,62
2017-05-29,63
2017-05-30,69
2017-05-31,70
2017-06-02,61
2017-06-03,62
2017-06-04,55
2017-06-05,42
2017-06-06,30
2017-06-07,41
2017-06-08,34
2017-06-09,54
2017-06-10,71
2017-06-11,57
2017-06-12,73
2017-06-13,90
2017-06-14,82
2017-06-15,68
2017-06-16,63
2017-06-17,71
2017-06-18,47
2017-06-19,49
2017-06-20,56
2017-06-21,57
2017-06-22,71
2017-06-23,75
2017-06-24,76
2017-06-28,46
2017-06-29,38
2017-06-30,41
2017-07-01,25
2017-01-03,153
2017-01-04,144
2017-01-05,151
2017-01-06,30
2017-01-07,63
2017-01-08,102
2017-01-09,152
2017-01-10,160
2017-01-11,158
2017-01-12,153
2017-01-13,139
2017-01-14,57
2017-01-15,17
2017-01-16,25
2017-01-17,53
2017-01-18,61
2017-01-19,91
2017-01-20,132
2017-01-21,137
2017-01-22,142
2017-01-23,119
2017-01-24,114
2017-01-25,102
2017-01-26,104
2017-01-27,151
2017-01-28,153
2017-01-29,153
2017-01-30,142
2017-01-31,149
2017-02-01,170
2017-02-02,158
2017-02-03,161
2017-02-04,74
2017-02-05,80
2017-02-06,68
2017-02-07,72
2017-02-08,97
2017-02-09,76
2017-02-10,76
2017-02-11,74
2017-02-12,114
2017-02-13,129
2017-02-14,134
2017-02-15,97
2017-02-16,104
2017-02-17,127
2017-02-18,102
2017-02-19,122
2017-02-20,137
2017-02-21,142
2017-02-22,122
2017-02-23,142
2017-02-24,144
2017-02-25,144
2017-02-26,68
2017-02-27,93
2017-02-28,124
2017-03-01,142
2017-03-02,34
2017-03-03,74
2017-03-04,109
2017-03-08,17
2017-03-09,53
2017-03-10,91
2017-03-11,99
2017-03-12,72
2017-03-13,78
2017-03-14,80
2017-03-15,117
2017-03-16,151
2017-03-17,163
2017-03-18,160
2017-03-19,93
2017-03-20,65
2017-03-21,80
2017-03-22,63
2017-03-23,89
2017-03-24,63
2017-03-25,55
2017-03-26,59
2017-03-27,25
2017-03-28,53
2017-03-29,67
2017-03-30,75
2017-03-31,70
2017-04-01,73
2016-10-02,63
2016-10-03,63
2016-10-05,55
2016-10-06,72
2016-10-07,50
2016-10-08,68
2016-10-09,95
2016-10-10,76
2016-10-11,38
2016-10-12,53
2016-10-13,70
2016-10-14,53
2016-10-15,38
2016-10-16,57
2016-10-17,68
2016-10-18,87
2016-10-19,87
2016-10-20,104
2016-10-21,91
2016-10-22,91
2016-10-23,93
2016-10-24,99
2016-10-25,89
2016-10-26,99
2016-10-27,89
2016-10-28,61
2016-10-29,80
2016-10-30,127
2016-10-31,114
2016-11-01,142
2016-11-02,139
2016-11-03,129
2016-11-04,137
2016-11-05,104
2016-11-06,63
2016-11-07,50
2016-11-08,30
2016-11-09,53
2016-11-10,80
2016-11-11,132
2016-11-12,132
2016-11-13,93
2016-11-14,82
2016-11-15,89
2016-11-16,89
2016-11-17,149
2016-11-18,165
2016-11-19,171
2016-11-20,159
2016-11-21,117
2016-11-22,80
2016-11-23,57
2016-11-24,46
2016-11-25,74
2016-11-26,78
2016-11-27,78
2016-11-29,89
2016-11-30,42
2016-12-01,89
2016-12-02,119
2016-12-03,114
2016-12-04,153
2016-12-05,155
2016-12-06,160
2016-12-07,153
2016-12-08,151
2016-12-10,159
2016-12-11,160
2016-12-13,153
2016-12-14,147
2016-12-15,127
2016-12-16,154
2016-12-17,153
2016-12-18,160
2016-12-19,157
2016-12-20,112
2016-12-21,57
2016-12-22,63
2016-12-23,117
2016-12-24,149
2016-12-25,134
2016-12-26,147
2016-12-27,157
2016-12-28,151
2016-12-30,107
2016-12-31,134
2017-01-02,177
2016-07-02,25
2016-07-03,29
2016-07-04,25
2016-07-05,29
2016-07-06,37
2016-07-07,30
2016-07-08,33
2016-07-09,41
2016-07-10,38
2016-07-11,34
2016-07-12,34
2016-07-13,21
2016-07-14,17
2016-07-15,17
2016-07-16,13
2016-07-17,16
2016-07-18,20
2016-07-19,21
2016-07-20,29
2016-07-21,41
2016-07-22,38
2016-07-23,25
2016-07-24,25
2016-07-25,17
2016-07-26,44
2016-07-27,56
2016-07-28,53
2016-07-29,53
2016-07-30,58
2016-07-31,67
2016-08-01,53
2016-08-02,34
2016-08-03,41
2016-08-04,58
2016-08-05,60
2016-08-06,42
2016-08-07,34
2016-08-08,34
2016-08-09,45
2016-08-10,58
2016-08-11,31
2016-08-12,21
2016-08-13,41
2016-08-14,52
2016-08-15,59
2016-08-18,50
2016-08-20,50
2016-08-21,65
2016-08-22,50
2016-08-23,34
2016-08-24,50
2016-08-25,53
2016-08-26,53
2016-08-27,61
2016-08-28,65
2016-09-02,59
2016-09-03,65
2016-09-04,72
2016-09-05,70
2016-09-06,61
2016-09-07,42
2016-09-08,30
2016-09-09,63
2016-09-10,70
2016-09-11,70
2016-09-12,65
2016-09-13,72
2016-09-14,70
2016-09-15,70
2016-09-16,57
2016-09-17,42
2016-09-18,34
2016-09-20,42
2016-09-21,53
2016-09-22,46
2016-09-23,53
2016-09-24,65
2016-09-25,74
2016-09-26,57
2016-09-27,63
2016-09-28,74
2016-09-29,63
2016-09-30,82
2016-10-01,80
2016-04-02,5
2016-04-03,5
2016-04-04,5
2016-04-08,89
2016-04-09,58
2016-04-10,50
2016-04-11,54
2016-04-12,58
2016-04-13,59
2016-04-16,46
2016-04-17,56
2016-04-18,58
2016-04-19,42
2016-04-20,38
2016-04-21,49
2016-04-22,60
2016-04-23,69
2016-04-24,23
2016-04-25,5
2016-04-26,5
2016-04-30,30
2016-05-01,57
2016-05-02,26
2016-05-03,45
2016-05-04,42
2016-05-05,34
2016-05-06,45
2016-05-07,56
2016-05-08,62
2016-05-09,69
2016-05-10,50
2016-05-11,42
2016-05-12,38
2016-05-13,21
2016-05-14,59
2016-05-15,55
2016-05-16,46
2016-05-17,46
2016-05-18,42
2016-05-19,56
2016-05-20,31
2016-05-21,37
2016-05-22,45
2016-05-23,34
2016-05-24,21
2016-05-25,24
2016-05-26,41
2016-05-27,49
2016-05-28,64
2016-05-29,77
2016-05-30,54
2016-05-31,42
2016-06-01,49
2016-06-02,34
2016-06-03,34
2016-06-04,45
2016-06-05,49
2016-06-06,34
2016-06-07,37
2016-06-08,45
2016-06-09,54
2016-06-10,46
2016-06-11,52
2016-06-12,56
2016-06-13,55
2016-06-14,56
2016-06-15,38
2016-06-16,41
2016-06-17,45
2016-06-18,38
2016-06-19,25
2016-06-20,21
2016-06-21,29
2016-06-22,30
2016-06-24,30
2016-06-25,41
2016-06-26,34
2016-06-27,25
2016-06-28,17
2016-06-29,20
2016-06-30,21
2016-01-06,95
2016-01-07,78
2016-01-08,122
2016-01-09,137
2016-01-10,155
2016-01-13,30
2016-01-16,74
2016-01-17,61
2016-01-18,42
2016-01-19,74
2016-01-20,122
2016-01-21,149
2016-01-22,161
2016-01-23,162
2016-01-24,163
2016-01-30,42
2016-01-31,34
2016-02-04,57
2016-02-06,57
2016-02-07,112
2016-02-08,63
2016-02-09,85
2016-02-10,104
2016-02-11,30
2016-02-12,46
2016-02-13,74
2016-02-14,119
2016-02-15,142
2016-02-16,144
2016-02-17,91
2016-02-18,46
2016-02-19,63
2016-02-20,74
2016-02-21,55
2016-02-22,82
2016-02-23,104
2016-02-24,93
2016-02-25,82
2016-02-26,70
2016-02-27,127
2016-02-28,68
2016-02-29,30
2016-03-01,42
2016-03-02,61
2016-03-03,82
2016-03-04,25
2016-03-05,78
2016-03-06,97
2016-03-09,68
2016-03-10,61
2016-03-11,57
2016-03-12,85
2016-03-13,95
2016-03-14,59
2016-03-15,50
2016-03-19,5
2016-03-20,5
2016-03-24,80
2016-03-25,80
2016-03-26,93
2016-03-27,82
2016-03-28,57
2016-03-29,57
2016-03-30,70
2016-03-31,70
2015-10-02,50
2015-10-03,26
2015-10-04,21
2015-10-05,33
2015-10-06,57
2015-10-07,75
2015-10-08,68
2015-10-09,55
2015-10-10,53
2015-10-11,54
2015-10-12,64
2015-10-13,73
2015-10-14,74
2015-10-16,25
2015-10-17,29
2015-10-18,77
2015-10-19,90
2015-10-20,85
2015-10-21,108
2015-10-22,118
2015-10-23,96
2015-10-24,122
2015-10-25,149
2015-10-26,154
2015-10-27,151
2015-10-28,132
2015-10-29,80
2015-10-30,42
2015-10-31,76
2015-11-01,104
2015-11-02,112
2015-11-03,109
2015-11-04,124
2015-11-05,102
2015-11-07,82
2015-11-08,5
2015-11-14,5
2015-11-15,5
2015-11-18,99
2015-11-19,124
2015-11-20,74
2015-11-21,87
2015-11-22,65
2015-11-23,46
2015-11-24,55
2015-11-25,87
2015-11-26,109
2015-11-27,119
2015-11-29,134
2015-11-30,159
2015-12-01,164
2015-12-02,149
2015-12-03,163
2015-12-04,171
2015-12-05,163
2015-12-06,151
2015-12-07,158
2015-12-08,172
2015-12-09,152
2015-12-10,119
2015-12-11,117
2015-12-12,154
